rate_hits_mapped,rate_hits_unmapped,time_mapped,time_unmapped
0.0006,0.0001,8.09351e-06,8.14837e-06
0.0018,0.0001,8.06736e-06,8.13185e-06
0.0009,0,8.07868e-06,8.1461e-06
0.0468,0.0115,8.15989e-06,8.207e-06
0.0018,0,8.08558e-06,8.13058e-06
0.0932,0.0118,8.10765e-06,8.16349e-06
0.0015,0,8.09271e-06,8.1587e-06
0.0016,0,8.16903e-06,8.23387e-06
0.0016,0,8.09831e-06,8.16706e-06
0.0011,0,8.09707e-06,8.16252e-06
0.0008,0,8.09701e-06,8.1654e-06
0.0027,0,8.1094e-06,8.1727e-06
0.0017,0.0003,8.10105e-06,8.17403e-06
0.0476,0.0046,8.1021e-06,8.1587e-06
0.0024,0.0002,8.08283e-06,8.1579e-06
0.1368,0.0297,8.17347e-06,8.22495e-06
0.0025,0.0006,8.08122e-06,8.15488e-06
0.0013,0,8.09687e-06,8.16593e-06
0.0014,0.0008,8.0965e-06,8.16961e-06
0.0023,0,8.10853e-06,8.17665e-06
0.0011,0,8.09625e-06,8.16782e-06
0.0017,0,8.1411e-06,8.20718e-06
0.0015,0,8.09243e-06,8.15122e-06
0.0019,0.0001,8.12717e-06,8.17895e-06
0.0539,0.0097,8.13707e-06,8.19595e-06
0.0009,0,8.08545e-06,8.13781e-06
0.0342,0.0067,8.12204e-06,8.18286e-06
0.0017,0.0001,8.1087e-06,8.18056e-06
0.0016,0.0002,8.10606e-06,8.17287e-06
0.0018,0.0002,8.09613e-06,8.16448e-06
0.0029,0.0001,8.08753e-06,8.14483e-06
0.0023,0,8.12092e-06,8.18586e-06
0.0006,0,8.0793e-06,8.15343e-06
0.0021,0,8.09741e-06,8.15652e-06
0.0464,0.0156,8.18703e-06,8.2412e-06
0.0078,0.0014,8.21778e-06,8.25091e-06
0.0566,0.0001,8.18477e-06,8.23355e-06
0.0018,0.0001,8.10064e-06,8.14859e-06
0.0012,0.0002,8.12914e-06,8.20183e-06
0.0017,0.0001,8.12883e-06,8.19508e-06
0.0388,0.0112,8.15036e-06,8.21406e-06
0.0021,0.0002,8.17912e-06,8.22917e-06
0.0013,0,8.14027e-06,8.20926e-06
0.0512,0.0093,8.14999e-06,8.20733e-06
0.0007,0,8.12897e-06,8.20167e-06
0.0023,0.0001,8.1402e-06,8.20671e-06
0.0008,0,8.13193e-06,8.18382e-06
0.0024,0.0001,8.11929e-06,8.17876e-06
0.002,0.0001,8.12142e-06,8.17931e-06
0.0026,0,8.11608e-06,8.16625e-06
0.0011,0,8.13335e-06,8.2037e-06
0.0015,0.0001,8.12929e-06,8.20222e-06
0.001,0.0001,8.15991e-06,8.22624e-06
0.0009,0,8.12715e-06,8.16834e-06
0.0008,0,8.12818e-06,8.20041e-06
0.0501,0.008,8.15781e-06,8.20778e-06
0.0015,0,8.07282e-06,8.12902e-06
0.0019,0.0002,8.16246e-06,8.22321e-06
0.0011,0,8.12692e-06,8.19889e-06
0.0012,0.0001,8.16009e-06,8.2257e-06
0.0005,0,8.13783e-06,8.18074e-06
0.0034,0.0004,8.16612e-06,8.21231e-06
0.0013,0,8.13658e-06,8.20578e-06
0.0013,0,8.12553e-06,8.20421e-06
0.0016,0.0001,8.15478e-06,8.21144e-06
0.0565,0.0121,8.12105e-06,8.18023e-06
0.0391,0.0063,8.1518e-06,8.18976e-06
0.0282,0.0089,8.08893e-06,8.1439e-06
0.035,0.008,8.14588e-06,8.19145e-06
0.0043,0.0001,8.15527e-06,8.2161e-06
0.0007,0.0001,8.09395e-06,8.1331e-06
0.0524,0.013,8.14368e-06,8.20313e-06
