rate_hits_mapped,rate_hits_unmapped,time_mapped,time_unmapped
0.6762,0,8.76393e-06,8.94214e-06
0.6742,0,8.79891e-06,8.98426e-06
0.5821,0,8.77744e-06,8.94135e-06
0.5798,0,8.798e-06,8.94186e-06
0.6772,0,8.73119e-06,8.94237e-06
0.7382,0,8.69657e-06,8.94151e-06
0.6028,0,8.76644e-06,8.94116e-06
0.7376,0,8.72687e-06,8.94295e-06
0.6886,0,8.75722e-06,8.94155e-06
0.5861,0,8.82806e-06,8.99016e-06
0.5909,0,8.79996e-06,8.94212e-06
0.6606,0,8.77562e-06,8.94467e-06
0.7456,0,8.68672e-06,8.94163e-06
0.7426,0,8.6967e-06,8.94138e-06
0.7191,0,8.73444e-06,8.94163e-06
0.5558,0,8.81559e-06,8.94498e-06
0.748,0,8.72518e-06,8.94147e-06
0.651,0,8.76191e-06,8.94173e-06
0.6317,0,8.78542e-06,8.94512e-06
0.6149,0,8.77719e-06,8.94174e-06
0.6966,0,8.7147e-06,8.94164e-06
0.579,0,8.78669e-06,8.94106e-06
0.7226,0,8.7048e-06,8.94185e-06
0.6189,0.0008,8.76856e-06,9.18326e-06
0.7422,0,8.70862e-06,8.94138e-06
0.6894,0,8.74592e-06,8.94131e-06
0.7115,0,8.70892e-06,8.94166e-06
0.6966,0,8.73414e-06,8.94208e-06
0.5662,0,8.75992e-06,8.94282e-06
0.7369,0,8.71055e-06,8.94144e-06
0.6003,0,8.78776e-06,8.94158e-06
0.7122,0,8.72773e-06,8.94166e-06
0.9979,0,8.37786e-06,8.94242e-06
0.7492,0,8.71114e-06,8.9412e-06
0.9844,0,8.52968e-06,8.94219e-06
0.7597,0,8.6845e-06,8.94343e-06
0.5918,0,8.77177e-06,8.9422e-06
0.6845,0,8.73952e-06,8.94226e-06
0.5414,0,8.79559e-06,8.94235e-06
0.7479,0,8.71092e-06,8.94205e-06
0.667,0,8.75926e-06,8.94219e-06
0.7328,0,8.72573e-06,8.94277e-06
0.7639,0,8.72389e-06,8.94206e-06
0.62,0,8.74885e-06,8.94284e-06
0.5565,0,8.78946e-06,8.94202e-06
0.7583,0,8.6951e-06,8.94148e-06
0.7379,0,8.70056e-06,8.94242e-06
0.74,0,8.71184e-06,8.94178e-06
0.6326,0,8.79861e-06,8.94299e-06
0.7452,0,8.69306e-06,8.94141e-06
0.5459,0,8.77853e-06,8.94321e-06
0.6246,0,8.78211e-06,8.94139e-06
0.699,0,8.77484e-06,8.96571e-06
0.7146,0,8.7036e-06,8.94142e-06
0.7385,0,8.69326e-06,8.94102e-06
0.6652,0,8.75154e-06,8.9413e-06
0.985,0,8.48083e-06,8.94226e-06
0.6669,0,8.72681e-06,8.94267e-06
0.7311,0,8.69931e-06,8.94107e-06
0.613,0,8.78825e-06,8.94185e-06
0.6443,0,8.76079e-06,8.9413e-06
0.7039,0,8.72605e-06,8.94117e-06
0.7543,0,8.69242e-06,8.94165e-06
0.701,0,8.74859e-06,8.94161e-06
0.6416,0,8.77853e-06,8.94244e-06
0.7452,0,8.71196e-06,8.94199e-06
0.6536,0,8.75769e-06,8.94174e-06
0.6599,0,8.82915e-06,9.0137e-06
0.63,0,8.76902e-06,8.94093e-06
0.7148,0,8.72435e-06,8.94142e-06
0.6677,0,8.76741e-06,8.9419e-06
0.6927,0,8.77691e-06,8.943e-06
0.636,0,8.75544e-06,8.94118e-06
0.7363,0,8.69843e-06,8.94143e-06
0.5791,0,8.77322e-06,8.94126e-06
0.7571,0,8.72043e-06,8.94186e-06
0.7255,0,8.71549e-06,8.94123e-06
0.6375,0,8.77611e-06,8.94142e-06
0.6509,0,8.7367e-06,8.94235e-06
0.6784,0,8.7697e-06,8.94149e-06
0.5988,0,8.7814e-06,8.94196e-06
0.7274,0,8.70393e-06,8.94134e-06
0.6538,0,8.75515e-06,8.94176e-06
0.6063,0,8.80512e-06,8.94179e-06
0.7422,0,8.70299e-06,8.94113e-06
0.5799,0,8.77375e-06,8.94185e-06
0.6858,0,8.72588e-06,8.94175e-06
0.7513,0,8.70608e-06,8.94231e-06
0.6407,0,8.7663e-06,8.94121e-06
0.7447,0,8.69317e-06,8.94265e-06
0.742,0,8.7242e-06,8.94229e-06
0.6552,0,8.78673e-06,8.95259e-06
0.655,0,8.73884e-06,8.94215e-06
0.5876,0,8.80423e-06,8.95654e-06
0.7427,0,9.30021e-06,9.00467e-06
0.5932,0,8.78935e-06,8.94165e-06
